text,label
"It's a WiFi-to-ethernet adapter. If you have the internet, you can't connect to a router through the adapter. If you don't, then you can't connect to a router through the adapter. The adapter is in a large, multi-sided plastic bag with two large holes for the ethernet cable and a small pouch for the ethernet cable and ethernet adapter. It also has a small pouch for the ethernet cable and ethernet adapter. This adapter is very convenient for me to use for a long time. I use it with my ipad and wi-fi and it works great. I like that it has a small slot for my usb 3. 0 drive. I like that it has a small ""plug"" for the ethernet cable and ethernet adapter. It has a small ""plug"" for the ethernet cable and ethernet adapter.",1
My son and grandson absolutely love Star Wars. You can't go wrong buying this set or any other set. Great price for a great toy.,0
"This is my second read by K'wan and once again I was not disappointed! Kwan draws you in with his colorful characters and doesn't let you go until the last page. Street Dreams is about guy name Rio from the projects who starts off being just nickel and dime dealer from around the way, but when he's approached by Prince, the king of the streets..Rio's lifestyle quickly starts to change for the good for him. But when Prince's oldest son, Truck is released from prison all hell breaks loose out of jealousy. I instantly fell in love with Trinity(Rio's girlfriend), Shamel(his longtime childhood friend), Sally(his Mom) and Cutty(another one of his friends). Street Dreams is by far one of the BEST books I've read in a long time! K'wan keeps you on the edge of your seat chapter after chapter and snatches your breath away at the very end! Street Dreams is HIGHLY recommended for readers who love drama, suspense, action, love and edge of the seat writing all in one! (Hoodrat by him also comes HIGHLY RECOMMENDED!) Keep'em coming K'wan!!!",0
"Again who can resist Scooby. He's an interesting character, but not one that I would recommend",1
"Great product. I didn't know it was an inch longer than the original one, but I'm glad I did. The plastic part is also very light and easy to",1
"it was ok for an hour long old time radio presentation. Don't know that I would buy it again, had I to do it over. The packaging was misleading - since Alistair Sim was pictured on the cover; I thought he would play the role of Scrooge. However, Orson Wells takes on the role and the program is really not much like the Alistair Sim movie.",0
"....how I determine that I'm an author. I've read a lot of books by authors. If you want to read a book that is different than the first, read it first. I look forward to reading more from this author.I really enjoyed this book. The characters were strong and likable. I found myself rooting for the characters and I loved how they all made it through their lives. I highly recommend this book.I enjoyed this book. I love how the author wrote the story. I love the way the author moved the story along. I just couldn't get into it and just",1
This is a good one. I have a very picky dog and this is the only one he will eat. The only thing I can say is that it does take a little time to adjust to his new diet. I will be giving it to him for the rest of his life.,1
"My wife does yoga and this is the only one that I can wear for work.Very pretty.I bought this for my son, who lives in the North Dakota area. He's 5'3"" and it fits perfectly. He's going to be wearing it in the winter and it's great for him to keep things on his feet and not to worry about being in the snow",1
"I bought this 40"" TV and it is the best part of it. It's been sitting in my glove compartment for about a week now and is running perfectly. The sound is great, and it's been in the trunk for about a month. I'm very happy with the TV. I have a portable player, a tablet, and a DVD player so I'm very happy with this TV. I can't tell you how much better it is than the 50"" TV. I've been using it for about a month now and it sounds great. I'm very happy with the sound quality. The sound is fantastic. The TV is on the ceiling and I can hear the birds and the birds are in the background. I've had no problems with the sound. It's very clear and I'm very happy with it. I don't really know what I'm getting into with this TV. It's a lot more",1
My 2 and a half year old boys are very excited for this series! I am one of those who have had a lot of fun,1
"This is obviously a classic movie, and a favorite of mine for decades. I was sceptical of what Blu-ray could offer, but am dumfounded as to the new life given to this classic. I have never seen this movie like this presentation, and will never watch it any other way again.",0
"I will say it up front, yes this was a film never previously seen in America, maybe it still has not been. It is from the 1970's, and just about outdoes most other genre entries (no pun intended) in terms of the degree of sleaze radiating off the screen. Another film where you could speed the film up 4-5 times and quite easily follow the plot, what little there is of it. I found it interesting to study the eyes of the people 'acting' in this film, there is a lot of uneasiness amid the sleaze on show. It is really a straight porn shoot (and it is without a doubt X-rated) with one or two lesbian scenes which would have been pretty radical for those days (I'm guessing). To give an indication of the story and plot standard, the short sex scenes which were often threatening to break out into a very laid back orgy, well those X-rated scenes were the actual highlight of the entire mess on show. It must have cost a fair bit to make, as it is well shot for the era, and whoever was behind the camera had at least some idea of what they were doing. I cannot comment on the dialogue as I couldn't bear to expose myself to it (it was dubbed anyway I think, which compounds the agony). And if you are thinking of purchasing this DVD based on the jacket featuring a gorilla obviously rather taken with a diverting buxom blonde, you will be sadly disappointed. There is a lame sex scene involving the bloke in the gorilla suit, with a young woman who obviously is unhappy, does not want her face caught on film, and raises the possibility whether she was aware of what was going on or even whether she felt under a little duress during that scene. Which brings me back to the central point, yes, this is sleaze with a capital 'S'; you sort of do get what was advertised, but it is so tame and takes itself seriously by today's 'standards' it is almost quaint.",0
"Melina and Gillian Lloyd are both caught up in the events of the book, and the reader learns a lot about them. The reader will also enjoy the development of the characters, as well as the family dynamics in the story. I would recommend it for anyone who is interested in the relationships between the characters.A very good book. I enjoyed the characters and the book was well written. I liked the ending. I liked the fact that the two families lived together.This is a great book for any age. It is the perfect book for any age.This is a great book for a beginner or intermediate level science. The book is easy to read and read. The science is fairly simple and easy to understand. It is an excellent reference for anyone interested in how to make a good science paper.This is a very good book. I would recommend it to anyone who wants a little bit of history and the history of the country. It has some really interesting information",1
"The movie is OK, the story quite upsetting, however, the editing is not quite what I expected, long, long, long close ups.",0
Bought this to take with me to Paris/London & my jewelry fit nice in there. It's nicely made too. Classy.,0
"This unit may be fine, but the fact that it is a little more expensive than other one's is unfortunate. The plastic parts are also not as good as the others I've seen. I'll be purchasing another one for the kitchen.I bought this to replace a broken machine I bought a year ago. I did not want to have to replace it since I had already",1
"I never read this kind of material, but once I picked it up I couldn't put it down. Not dry or boring in any way, Levitt has the reader looking at the world in ways never imagined. This is not about economics at all, more about sociology and how things that we believe are linked are not and how other occurrences do have connection. Read the first chapter and see if you can put it down! I recommend it highly because it challenges your thinking.",0
This saw is one of the best I've ever owned. I have a variety of tools. The range is amazing. I have used the T8 Spyderco saw for years and it still holds up to every use. I have several other saws and have found the T8 Spyderco to be very reliable and reliable. I have had this saw for over a year and it still holds up to every use. I have never had a problem with it. I highly recommend this saw. I will definitely buy it again. I highly recommend this saw. I have used it for a couple of years now and it still holds up to every use. I have used it for over a year now and I still hold up to every use. I have used it for over a year now and I still hold up to every use. I have used this saw for over a year now and I still hold up to every use. I have had many times in the past with the T8 Spyderco. I have used it for over a year now and I still hold up to every use. I have used it for over a year now and I still hold up to every use.,1
God's Name used in vain ruined it for me. Totally unnecessary that hollywood use our Lord's Name in vain.,0
"Great quality product, I purchased for HP 7 android tablet, doesn't fit quite right. I took a change in this purchase and it is my fault, not the fault of the product because HP Slate is slightly different than the tablet I have. The product is excellent and would have been really nice if it fit my product like a glove.",0
"This series is a lot better than the first one. I really enjoyed this story. I just wanted to read more about the people, places and people that we met in the first book. I was sad when I finished this book, but it was a very good story. I received a free copy of this book from the author in",1
"""The Shambling Guide To New York City"" by John Grisham. The Shambling Guide To New York City is the most comprehensive and comprehensive book ever written on the subject of urban planning. It covers the most comprehensive and comprehensive of urban planning principles and is the foundation of the",1
My son and his friends are both enjoying this game. It is easy for him to learn and he is so impressed with,1
"When I saw this DVD I thought it might be good with Penn directing and the cast, but now I can see why I do not recall seeing its trailer at a theatre or on my tv screen.... The dialogue is badly muddled some of the time.....e.g. when Frank and Joe are alone on the porch of their old farm and running around in the corn field......Another instance is when Joe goes to the bar to see why Frank is not at home where his child is being born. There is also a tendency to leave things hanging..... I found it a waste of some talented actors e.g. Bronson, Hopper, Denis and others, but admit that it is probably the best thing that Morse has ever done on the big screen...normally he walks thru his roles like a zombie. I found Mortensen's character, Frank, to be sad and compelling, but the others were fleeting in time and depth. Finally, are we to believe that after Frank beats the bartender to death, that his brother, a dedicated police officer, just sighs and tells us that he never saw him again? He is of course not aware of the other things he has done before he hit town but this is a problem that does not deserve a slap on the wrist and a sad farewell, no matter if he is his brother or not. That was the final straw for me.",0
The story was ok at best you really should edit! The words in this book that were misspelled and words that shouldn't been in the sentence. Autocorrect while reading through this book is not what the reader wants to do. The book was boring the female lead character I really wanted to shoot her after the first chapter.,0
"Although I know nothing about African history, I'd agree that it's important to read this book. I had a friend who was a professor of English who had a very interesting interest in the subject and I'd like to know more about it. I also found it very interesting that people in the family lived",1
"""I'm Telling you for the first time, let me explain what it's like to be a child. I had to get up at night and have a couple of drinks in the morning. I had no idea what to expect, and it was as if I was waiting for the sun to set. I was aware that I had to make a choice between staying at home and leaving. I was quite surprised to see that I was not. I started to wonder what was going on. I felt that I was",1
"Good looking knife, I've always had an edge to it. I'm not sure if I'm just",1
I am new to the web interface and the tools are not all that important. I have one of these so I had to replace a couple of the other ones. I was very pleased with it. I have been using it for a few months now and I am still using it for the last month. I have also been able to install the faucet by simply drilling a hole in the wall and installing the f,1
"I was totally unprepared for this book, and I just wasn't expecting it to be as good. I had a lot of fun with the characters and the plot. I enjoyed that it was a little more in depth, but it was still a very good book. I received a free copy of this book from the author in exchange for an honest review. I love this series.",1
"Received the item well packaged and very fast. Took about twenty minutes for assembly. All the necessary tools are provided. The assembly steps are more or less intuitive so hardly necessary to read the instructions. The construction is quite good. The machinery fit and finish are almost top notch, but at this price one can hardly complain. The bike works well, will see on durability, but so far very good. After three years, this still works like when it was new. Excellent Value! Four stars instead of five is largely due to screen, which is somewhat difficult to read. In this day and age of widely available LED readouts, one could have expected this to have a more readable lit screen, instead of LCD. Also, the mini fan is not very functional, but cute nonetheless. But I actually sometimes use the little fan feature as background noise so I can concentrate on my workout better. Overall, Schwinn did a very good quality job with this bike and as usual, Amazon delivers to us in the most efficient ways. Thanks.",0
"We are very happy with this set and the quality. I will keep my review for future reference.I bought this for a friend, she loves it! It's great for storing rice, pasta, and eggs in the fridge. I have it with me for two weeks now and she is very happy with it! I'm very happy with it.",1
This movie was so well written and acted. The acting was top notch. The story line is so well written and,1
"Honestly, I did not expect this book to be this good. Its target audience is young adults, but it certainly is a great read for adults also. I finished the book in one day. The author created a main character you care so much about you just want to read it all the way to the end to find out what happened to him. The idea is creative and the pace is fast and engaging. I highly recommend it.",0
It is not reliable nor safe. The only reason I gave it 4 stars is because the one we bought from,1
"Shantel can write!!! Slade and Willow are the best in the series. They are strong, funny, loving, and smart.",1
I have always loved almost all the movies she has been in. She is an excellent actress and should be in more movies. She is so versatile in everything she does.,0
A lot of nice pieces that come in handy when you're getting the best shot.,0
Just installed these speakers replacing a set I have been using for many years. They are solidly built and work great. Much better sound than I expected based on the low cost. Would definitely recommend to people looking for a reasonable match of quality and price in desktop PC speakers. Pros: Small size Power supply built in Great sound Cons: None so far,0
"It appears that Arcos has skimped to make this a cheaper model. A MAJOR negative that the potential capacity is really a lot less than perceived. This is due to the inconceivable absence of ANY expansion via SDHC cards or any other flash cards. The greatly limits flexibility. It is always an important idea to leave a considerable amount of empty space on the locked up, internal flash of the unit, as performance several degrades, as the internal flash fills up. As it gets around 70%, besides the performance issues, sort issues, there is a much grater chance of database and OS, issues, because of the needing of large work areas, that are not available. Not allowing external expansion from SDHC, truly helps this situation. I guess this also forces Archos customers to HAVE to get propriatary Archos units and drives to expand at all. Skip this unit (however DON'T get a Ipod).",0
"What can I say? I'm a 5'6"" 40-something eventer with big horses and having a mounting block sure makes setting and resetting fences much easier. I used to have a three-step block and unfortunately, the friend to whom I loaned it managed to break it (yep, really!). So, missing my block, I ordered this one. At first, I missed having that top third step, but after a week or so, I got used to it. What I like: Stability. I have a youngster who is learning to stand still for mounting, and this block has a nice, wide base, so it doesn't move around easily. I can get on and off 20 times, holding a fidgety youngster, and this block never threatens to tip over. The steps themselves are plenty wide enough to allow for standing (not just stepping) on them. The handle is built into the front instead of the back, which makes the block easier to pick up. While substantial enough in weight, it's light enough to pick up and carry across the arena in one hand (while leading a horse with the other hand) without any real effort. What I don't like: I wish it were about 2"" taller. Also, the recessed area on the back side (not visible in the product photos on Amazon) will make a very attractive nesting location for yellowjackets - a better design would be a straight side all the way down the back. And finally, the steps are either slightly warped or designed to have a slight depression in the middle of each step. This means the mounting block collects water and must be tipped off before using after a rainstorm. I suspect this is a design element to enhance step stability, but the problem of water collection could be eliminated by drilling a small hole in the middle of the depression (I may do this myself).",0
"Very good belt. I use this every day , and use it in competition for Idpa and uspsa and 3 gun. The belt is thin but very well constructed. I don't think I'll ever use another belt. Very easy to loosen or tighten. Very sturdy under load.",0
Interesting premise which moves fluidly thru place and time but almost too fluidly. The ending feels as if there was a deadline to meet. I give it a 6 out of 10,0
It was very soft and soft. The pieces were just what I wanted for my daughter's birthday.I bought this for my son for Christmas and he absolutely loves it. The only thing that,1
Not really sure if my dog will eat the food. I will keep feeding him the food he needs,1
Ordered this for my 20 month old granddaughter. She LOVES it! It's been a,1
"The safety seal is bigger than the original. The two screws on the bottom of the one-piece pair have the same diameter, so they're the same size. I used these to hold my older model in place in a box. This one holds it in place in the box. I used a single piece of non-durable tape to hold the two pieces together. The seam of the wire seems to be on the outside of the wire, so I don't know how long it will last. I've only used one of these two times. The other two have a long",1
I can't believe how much kitties LOVE these springs! Was a donation on a Wish List. And then I bought some for my cats.,0
"I bought two packs of this set and they look just like the picture, just the same color.I bought this for a friend, she loves it!I bought this for my daughter's room. It is a good size for her size. I use it to hold her clothes and a lot of things. I also use it to store a lot of clothes. I love the fact that it has a nice depth to it, it keeps things organized and easy to clean. I would highly recommend it.I bought these for my daughter's room. They are perfect for her",1
I bought these to use with a PS4. They work perfectly and (in my opinion) are more comfortable than most budget over the ear headphones. The microphone and mute button all work well. I had to adjust a setting to play all music through the headphones in order for both the left and right earbud to output friend's voices (otherwise in a party with friends it only outputs through one earbud).,0
"Use with Thetford Curve. MUCH easier to use and carry extras than the liquid. No odor, no mess, and one small pouch dropped into the lower (black) tank with a little water is all that's needed to activate. Had never used this product or a port-a-potty before and both were a breeze!",0
"Reminds me of desperation type of book, with the characters being either boring or just plain boring. The story is told from the point of view",1
"Great toy, but its HUGE! My boxer cant pick up the large. I would have definitely gone for the medium knowing how long it is (large is more than an arms length)",0
Maxine of Hollywood always has a good balance of height and weight. These pants are a great buy. I had to get,1
A good tool if you are an electrician and you need a lot of power. This is a great tool if you are a tool shop and have a lot of power.I have used this bulb in the past. It was one of the most useful for me. I love it. I have the option of changing the color,1
"These Travel Organizers multipurpose Packing Bags by G4Free are great. There are 3 multipurpose packing bags in this set. They are well made and the quality is very good. They have handles for easy carrying. The bags have double zippers and they move smoothly without getting stuck. I got these just in time to pack away my Christmas decorations. These are perfect for my breakable Christmas tree ornaments and my mantle decorations. I wrapped everything in bubble wrap and packed them all in these bags. Now all of my stuff will be stored safely in these bags and stacked in a storage tub. I like the mesh in the top of the bags so I can see what's inside. These packing cubes are very versatile. You can pack clothes, store things, etc. I am very happy with these bags and I recommend them. I received this product for free in exchange for my honest and unbiased review. All opinions are based on my own experiences.",0
"Using this timer for my garage, I thought it would be a nice addition to the tool box. I had to replace a couple of batteries that were not in the case and that was a pain in the butt. I am very pleased with the quality of the product. I have used it with a portable timer and I",1
"Good, cheap shooting glasses. These are not $100+ glasses, that much is evident. But the lenses are distortion-free and the frames are sturdy enough for use with ear protection over the arms.",0
Love not having to fill it up and let the litter out. I just throw it in the trash and it stays in the box. The box itself is pretty sturdy and it's easy to clean. It's a bit pricey for the size and weight but it's worth it. It's a good product and I'm very happy with it.I've had this for about a year now and I love the way it moves and the way it,1
What a piece of junk! The bail won't even latch.,0
I bought these way too lengthy but since they are excellent cables i don't mind. Will find a use for the 80ft i have left (haha). Get these with some banana plugs and you're good to go.,0
The suspense was awesome......characters made me laugh and cry and just know how they feel. I was just blown away by the way the author,1
Pros: Wash well Laundry bag included thicker than expected Great quality materials Cons: Too small for my petite frame I had to return it.,1
"This is not a professional grade yoga mat, but it's perfect for beginners. It seems like it would eventually start shredding after a lot of use, but still a very nice yoga mat.",0
"I am so pleased with the ODOR Absorbed Activated Charcoal NATURAL Deodorizer Bag by UBERPAKK. In the past the only option I thought I had was placing one of those charcoal tubs in my bathroom or closet which works pretty well but doesn't look nice at all. This will eliminate the odors and yet be non-imposing on my decor or be forgotten in my closet. I put one of these right smack dab on the top of the tank of my toilet of my guest bathroom which is only used when we have guests. It goes great in there and also looks very decorative. (So much better than having the charcoal tub sitting on the floor). I put the other one in a guest room closet. I really hate going in one of my rooms, opening up a closet and it smelling musty. Now, it never will. I hung it on a hanger and it can be seen by anyone who hangs their clothes in there. It just looks nice. The muted green goes with any room in my house so I am certain that I will be ordering more before too long. I was fortunate to receive this product at a discount in exchange for my HONEST & UNBIASED opinion. I ALWAYS pretest every product prior to writing a review. I am free to write whatever I believe to be true, whether positive or negative. This is my true story and my honest opinion.",0
"This kit comes with everything you need to polish metal. I took the guards and grinding wheels off an old 6"" grinder I had. I installed the buffing wheels and had the machine buffing parts in only a few minutes. It comes with roughing blocks for course, fine, and extra fine. I didn't notice a brown block since it looked like I got two grey blocks; not a big deal for me since the three grits do exactly what I need. If you are doing jewelry, then you need the extra fine that this kit provides, but the fine will be enough to finish most general polishing. Because there are three different grades of roughing blocks, the kit also comes with three different grades of buffing wheels. You need these to keep from mixing the grits of the roughing blocks onto the same wheels. The instruction manual is clear on how to use the kit and to get a good polish. It also shows which roughing grades to use on which metals. So far I have polished about 23 steel, brass, and iron parts with great results. I also buffed plastic parts; one of which were the plastic headlights on a car. This kit had them looking almost new. I am very happy with this kit and glad I didn't spend the money to buy the items separately. UPDATE: Its been 1.5 years since I started using this kit. I have used it so much that the wheels now need to be replaced and I need more roughing blocks. So, I just bought another one of these kits on sale since it was cheaper than buying all the parts separately. I have buffed so many things that I wonder how I ever got along without it before. I even cleaned up some of my wife's jewelry.",0
Works as advertise. I installed it in my N3dsXL and I have NOOOOO problems with all my over 200 games. Love it. Real value for my money.,0
"I've read (and enjoyed) so many of the Lord's books, but this one just doesn't hold my interest. I had to read it before I could get into the story, and it's just not my cup of tea. I'm glad I read it, because it gives me hope for the next installment in the series. I'd be remiss if I didn't give this one a 4. 5 stars.",1
"I have seen the first season. Now reading the first novel. It is reeling me in more and more. The descriptive nature of the writing is entrancing. The line from ""The Gathering"" about the bagpipers relating that the trilling of the chanters above the drones ""made the blood itch"" made me stop and read again and again. It is the finest description I have read. I feel my skin shivering at the thought.",0
Good for backpacking or when hiking. The only downside is that it's a little hard to put,1
"Breacher (Arnold Schwarzenegger) leads a group of people into a dangerous city in search of a serial killer. The group is led by a woman named Danielle (Amy Adams) who is a former prostitute. She is a little disturbed by the murder of her ex-boyfriend who has been accused of killing her. Danielle is a bit paranoid and has a very low opinion of the police. She also has a very high opinion of the police as they are on a high level. The story is pretty straight forward, but the acting is quite good. There is also a little bit of nudity in this film, but it is definitely not sexual. The storyline is not as dramatic as the previous films, but",1
these were for my 6 year old granddaughter. She loved them. My son loves this!Great quality and great price! I am a huge fan of Tootlemania and this is by far my favorite. The paint is very vibrant and the pieces are very well made.,1
"our cats are great jumpers, and this is great for getting them to jump.",0
A very believable portrayal of a real person. Not too many people make a movie like this.I really enjoyed the film. The characters and the story were great. The acting was great. The acting was great. The acting was good. The plot was good. The acting was good. The story was good. The acting was good. The story was good. The story was good. The story was good. The story was good. The story was good. The story was good. The story was good. The story was good. The story was good. The story was good. The story was good. The story was good. The story was good.,1
I love these pants but the stretchy design is just too tight. I have a wide foot and a wide foot. The fit is perfect and the fabric is soft. The material is thick and stretchy and the material feels like it will stretch,1
